x1,x2,y
-3.1416,0,1
-3.1462,-0.014482,1
-3.1507,-0.029006,1
-3.1551,-0.043572,1
-3.1595,-0.05818,1
-3.1638,-0.072828,1
-3.168,-0.087517,1
-3.1722,-0.10225,1
-3.1763,-0.11702,1
-3.1803,-0.13183,1
-3.1842,-0.14668,1
-3.1881,-0.16157,1
-3.192,-0.17649,1
-3.1957,-0.19146,1
-3.1994,-0.20646,1
-3.203,-0.22151,1
-3.2065,-0.23659,1
-3.21,-0.2517,1
-3.2134,-0.26686,1
-3.2167,-0.28205,1
-3.22,-0.29727,1
-3.2231,-0.31254,1
-3.2262,-0.32784,1
-3.2293,-0.34317,1
-3.2322,-0.35854,1
-3.2351,-0.37394,1
-3.2379,-0.38938,1
-3.2407,-0.40485,1
-3.2434,-0.42035,1
-3.2459,-0.43589,1
-3.2485,-0.45146,1
-3.2509,-0.46706,1
-3.2533,-0.4827,1
-3.2556,-0.49836,1
-3.2578,-0.51406,1
-3.2599,-0.52979,1
-3.262,-0.54555,1
-3.264,-0.56134,1
-3.2659,-0.57716,1
-3.2677,-0.59301,1
-3.2695,-0.60889,1
-3.2712,-0.62479,1
-3.2728,-0.64073,1
-3.2743,-0.65669,1
-3.2758,-0.67268,1
-3.2771,-0.6887,1
-3.2784,-0.70474,1
-3.2797,-0.72082,1
-3.2808,-0.73691,1
-3.2819,-0.75304,1
-3.2828,-0.76919,1
-3.2837,-0.78536,1
-3.2846,-0.80156,1
-3.2853,-0.81778,1
-3.286,-0.83403,1
-3.2865,-0.8503,1
-3.2871,-0.86659,1
-3.2875,-0.8829,1
-3.2878,-0.89924,1
-3.2881,-0.9156,1
-3.2883,-0.93198,1
-3.2884,-0.94838,1
-3.2884,-0.9648,1
-3.2883,-0.98125,1
-3.2882,-0.99771,1
-3.2879,-1.0142,1
-3.2876,-1.0307,1
-3.2872,-1.0472,1
-3.2867,-1.0637,1
-3.2862,-1.0803,1
-3.2855,-1.0969,1
-3.2848,-1.1135,1
-3.284,-1.1301,1
-3.2831,-1.1467,1
-3.2822,-1.1633,1
-3.2811,-1.18,1
-3.2799,-1.1967,1
-3.2787,-1.2133,1
-3.2774,-1.23,1
-3.276,-1.2467,1
-3.2745,-1.2635,1
-3.273,-1.2802,1
-3.2713,-1.297,1
-3.2696,-1.3137,1
-3.2678,-1.3305,1
-3.2659,-1.3473,1
-3.2639,-1.3641,1
-3.2618,-1.3809,1
-3.2596,-1.3977,1
-3.2574,-1.4145,1
-3.2551,-1.4313,1
-3.2527,-1.4482,1
-3.2501,-1.465,1
-3.2476,-1.4819,1
-3.2449,-1.4987,1
-3.2421,-1.5156,1
-3.2393,-1.5325,1
-3.2363,-1.5494,1
-3.2333,-1.5663,1
-3.2302,-1.5831,1
-3.227,-1.6,1
-3.2237,-1.6169,1
-3.2203,-1.6339,1
-3.2169,-1.6508,1
-3.2133,-1.6677,1
-3.2097,-1.6846,1
-3.206,-1.7015,1
-3.2022,-1.7184,1
-3.1983,-1.7353,1
-3.1943,-1.7522,1
-3.1902,-1.7692,1
-3.186,-1.7861,1
-3.1818,-1.803,1
-3.1775,-1.8199,1
-3.173,-1.8368,1
-3.1685,-1.8537,1
-3.1639,-1.8706,1
-3.1592,-1.8875,1
-3.1544,-1.9044,1
-3.1496,-1.9213,1
-3.1446,-1.9382,1
-3.1396,-1.9551,1
-3.1344,-1.972,1
-3.1292,-1.9889,1
-3.1239,-2.0058,1
-3.1185,-2.0226,1
-3.113,-2.0395,1
-3.1074,-2.0563,1
-3.1017,-2.0732,1
-3.096,-2.09,1
-3.0901,-2.1068,1
-3.0842,-2.1236,1
-3.0782,-2.1404,1
-3.072,-2.1572,1
-3.0658,-2.174,1
-3.0595,-2.1908,1
-3.0531,-2.2075,1
-3.0467,-2.2243,1
-3.0401,-2.241,1
-3.0335,-2.2577,1
-3.0267,-2.2744,1
-3.0199,-2.2911,1
-3.0129,-2.3078,1
-3.0059,-2.3244,1
-2.9988,-2.3411,1
-2.9916,-2.3577,1
-2.9844,-2.3743,1
-2.977,-2.3909,1
-2.9695,-2.4075,1
-2.962,-2.4241,1
-2.9543,-2.4406,1
-2.9466,-2.4571,1
-2.9388,-2.4736,1
-2.9309,-2.4901,1
-2.9229,-2.5066,1
-2.9148,-2.523,1
-2.9066,-2.5394,1
-2.8983,-2.5558,1
-2.89,-2.5722,1
-2.8815,-2.5885,1
-2.873,-2.6049,1
-2.8644,-2.6212,1
-2.8557,-2.6375,1
-2.8469,-2.6537,1
-2.838,-2.6699,1
-2.829,-2.6862,1
-2.8199,-2.7023,1
-2.8108,-2.7185,1
-2.8015,-2.7346,1
-2.7922,-2.7507,1
-2.7827,-2.7668,1
-2.7732,-2.7828,1
-2.7636,-2.7988,1
-2.7539,-2.8148,1
-2.7441,-2.8308,1
-2.7343,-2.8467,1
-2.7243,-2.8626,1
-2.7143,-2.8784,1
-2.7041,-2.8943,1
-2.6939,-2.91,1
-2.6836,-2.9258,1
-2.6732,-2.9415,1
-2.6627,-2.9572,1
-2.6521,-2.9729,1
-2.6415,-2.9885,1
-2.6307,-3.0041,1
-2.6199,-3.0197,1
-2.6089,-3.0352,1
-2.5979,-3.0507,1
-2.5868,-3.0661,1
-2.5756,-3.0815,1
-2.5644,-3.0969,1
-2.553,-3.1122,1
-2.5416,-3.1275,1
-2.53,-3.1428,1
-2.5184,-3.158,1
-2.5067,-3.1731,1
-2.4949,-3.1883,1
-2.483,-3.2034,1
-2.471,-3.2184,1
-2.459,-3.2334,1
-2.4468,-3.2484,1
-2.4346,-3.2633,1
-2.4223,-3.2782,1
-2.4099,-3.293,1
-2.3974,-3.3078,1
-2.3849,-3.3225,1
-2.3722,-3.3372,1
-2.3595,-3.3519,1
-2.3467,-3.3665,1
-2.3337,-3.381,1
-2.3208,-3.3955,1
-2.3077,-3.41,1
-2.2945,-3.4244,1
-2.2813,-3.4387,1
-2.268,-3.4531,1
-2.2545,-3.4673,1
-2.2411,-3.4815,1
-2.2275,-3.4957,1
-2.2138,-3.5098,1
-2.2001,-3.5239,1
-2.1863,-3.5379,1
-2.1723,-3.5518,1
-2.1584,-3.5657,1
-2.1443,-3.5796,1
-2.1301,-3.5934,1
-2.1159,-3.6071,1
-2.1016,-3.6208,1
-2.0872,-3.6344,1
-2.0727,-3.648,1
-2.0582,-3.6615,1
-2.0435,-3.6749,1
-2.0288,-3.6883,1
-2.014,-3.7017,1
-1.9991,-3.715,1
-1.9842,-3.7282,1
-1.9691,-3.7414,1
-1.954,-3.7545,1
-1.9388,-3.7675,1
-1.9235,-3.7805,1
-1.9082,-3.7934,1
-1.8927,-3.8063,1
-1.8772,-3.8191,1
-1.8616,-3.8318,1
-1.846,-3.8445,1
-1.8302,-3.8571,1
-1.8144,-3.8697,1
-1.7985,-3.8822,1
-1.7825,-3.8946,1
-1.7665,-3.907,1
-1.7504,-3.9193,1
-1.7342,-3.9315,1
-1.7179,-3.9436,1
-1.7015,-3.9557,1
-1.6851,-3.9678,1
-1.6686,-3.9797,1
-1.652,-3.9916,1
-1.6354,-4.0034,1
-1.6187,-4.0152,1
-1.6019,-4.0269,1
-1.585,-4.0385,1
-1.568,-4.05,1
-1.551,-4.0615,1
-1.5339,-4.0729,1
-1.5168,-4.0843,1
-1.4995,-4.0955,1
-1.4822,-4.1067,1
-1.4649,-4.1178,1
-1.4474,-4.1289,1
-1.4299,-4.1398,1
-1.4123,-4.1507,1
-1.3947,-4.1615,1
-1.3769,-4.1723,1
-1.3591,-4.183,1
-1.3413,-4.1936,1
-1.3233,-4.2041,1
-1.3053,-4.2145,1
-1.2873,-4.2249,1
-1.2691,-4.2352,1
-1.2509,-4.2454,1
-1.2326,-4.2555,1
-1.2143,-4.2656,1
-1.1959,-4.2756,1
-1.1774,-4.2855,1
-1.1589,-4.2953,1
-1.1403,-4.305,1
-1.1216,-4.3147,1
-1.1029,-4.3243,1
-1.0841,-4.3337,1
-1.0652,-4.3432,1
-1.0463,-4.3525,1
-1.0273,-4.3617,1
-1.0082,-4.3709,1
-0.98911,-4.38,1
-0.96993,-4.389,1
-0.95069,-4.3979,1
-0.93138,-4.4067,1
-0.91202,-4.4155,1
-0.8926,-4.4242,1
-0.87311,-4.4327,1
-0.85357,-4.4412,1
-0.83396,-4.4496,1
-0.8143,-4.458,1
-0.79458,-4.4662,1
-0.7748,-4.4743,1
-0.75496,-4.4824,1
-0.73506,-4.4904,1
-0.71511,-4.4982,1
-0.69509,-4.506,1
-0.67503,-4.5137,1
-0.6549,-4.5214,1
-0.63472,-4.5289,1
-0.61449,-4.5363,1
-0.5942,-4.5437,1
-0.57385,-4.5509,1
-0.55345,-4.5581,1
-0.533,-4.5652,1
-0.51249,-4.5721,1
-0.49193,-4.579,1
-0.47132,-4.5858,1
-0.45066,-4.5925,1
-0.42994,-4.5991,1
-0.40917,-4.6056,1
-0.38835,-4.6121,1
-0.36749,-4.6184,1
-0.34657,-4.6246,1
-0.3256,-4.6308,1
-0.30458,-4.6368,1
-0.28352,-4.6427,1
-0.2624,-4.6486,1
-0.24124,-4.6544,1
-0.22003,-4.66,1
-0.19877,-4.6656,1
-0.17747,-4.671,1
-0.15612,-4.6764,1
-0.13473,-4.6817,1
-0.11329,-4.6869,1
-0.0918,-4.6919,1
-0.070271,-4.6969,1
-0.048698,-4.7018,1
-0.027081,-4.7066,1
-0.0054215,-4.7112,1
0.01628,-4.7158,1
0.038024,-4.7203,1
0.05981,-4.7247,1
0.081637,-4.7289,1
0.1035,-4.7331,1
0.12541,-4.7372,1
0.14736,-4.7412,1
0.16935,-4.745,1
0.19137,-4.7488,1
0.21343,-4.7525,1
0.23554,-4.756,1
0.25767,-4.7595,1
0.27985,-4.7629,1
0.30206,-4.7661,1
0.32431,-4.7693,1
0.34659,-4.7723,1
0.36891,-4.7753,1
0.39126,-4.7781,1
0.41365,-4.7808,1
0.43607,-4.7835,1
0.45852,-4.786,1
0.48101,-4.7884,1
0.50352,-4.7907,1
0.52607,-4.7929,1
0.54865,-4.795,1
0.57126,-4.797,1
0.5939,-4.7989,1
0.61657,-4.8007,1
0.63927,-4.8024,1
0.662,-4.8039,1
0.68475,-4.8054,1
0.70754,-4.8067,1
0.73035,-4.808,1
0.75318,-4.8091,1
0.77604,-4.8101,1
0.79893,-4.8111,1
0.82184,-4.8119,1
0.84478,-4.8126,1
0.86774,-4.8132,1
0.89072,-4.8136,1
0.91373,-4.814,1
0.93676,-4.8143,1
0.95981,-4.8144,1
0.98288,-4.8145,1
1.006,-4.8144,1
1.0291,-4.8142,1
1.0522,-4.8139,1
1.0754,-4.8135,1
1.0985,-4.813,1
1.1217,-4.8124,1
1.1449,-4.8117,1
1.1682,-4.8108,1
1.1914,-4.8098,1
1.2146,-4.8088,1
1.2379,-4.8076,1
1.2612,-4.8063,1
1.2845,-4.8049,1
1.3078,-4.8034,1
1.3311,-4.8017,1
1.3545,-4.8,1
1.3778,-4.7981,1
1.4012,-4.7961,1
1.4246,-4.7941,1
1.4479,-4.7918,1
1.4713,-4.7895,1
1.4947,-4.7871,1
1.5182,-4.7846,1
1.5416,-4.7819,1
1.565,-4.7791,1
1.5884,-4.7762,1
1.6119,-4.7732,1
1.6353,-4.7701,1
1.6588,-4.7669,1
1.6822,-4.7636,1
1.7057,-4.7601,1
1.7292,-4.7565,1
1.7526,-4.7528,1
1.7761,-4.749,1
1.7996,-4.7451,1
1.8231,-4.7411,1
1.8465,-4.7369,1
1.87,-4.7326,1
1.8935,-4.7283,1
1.917,-4.7238,1
1.9404,-4.7191,1
1.9639,-4.7144,1
1.9874,-4.7096,1
2.0108,-4.7046,1
2.0343,-4.6995,1
2.0578,-4.6943,1
2.0812,-4.689,1
2.1047,-4.6836,1
2.1281,-4.678,1
2.1515,-4.6724,1
2.175,-4.6666,1
2.1984,-4.6607,1
2.2218,-4.6547,1
2.2452,-4.6485,1
2.2686,-4.6423,1
2.292,-4.6359,1
2.3154,-4.6294,1
2.3387,-4.6228,1
2.3621,-4.6161,1
2.3854,-4.6093,1
2.4087,-4.6023,1
2.4321,-4.5953,1
2.4553,-4.5881,1
2.4786,-4.5808,1
2.5019,-4.5734,1
2.5252,-4.5658,1
2.5484,-4.5582,1
2.5716,-4.5504,1
2.5948,-4.5425,1
2.618,-4.5345,1
2.6412,-4.5264,1
2.6643,-4.5181,1
2.6874,-4.5098,1
2.7105,-4.5013,1
2.7336,-4.4927,1
2.7567,-4.484,1
2.7797,-4.4752,1
2.8027,-4.4662,1
2.8257,-4.4572,1
2.8487,-4.448,1
2.8716,-4.4387,1
2.8946,-4.4293,1
2.9175,-4.4198,1
2.9403,-4.4101,1
2.9632,-4.4003,1
2.986,-4.3905,1
3.0088,-4.3805,1
3.0315,-4.3704,1
3.0542,-4.3601,1
3.0769,-4.3498,1
3.0996,-4.3393,1
3.1222,-4.3287,1
3.1448,-4.318,1
3.1674,-4.3072,1
3.1899,-4.2963,1
3.2124,-4.2852,1
3.2349,-4.2741,1
3.2574,-4.2628,1
3.2797,-4.2514,1
3.3021,-4.2399,1
3.3244,-4.2283,1
3.3467,-4.2165,1
3.369,-4.2047,1
3.3912,-4.1927,1
3.4134,-4.1806,1
3.4355,-4.1684,1
3.4576,-4.1561,1
3.4797,-4.1437,1
3.5017,-4.1311,1
3.5236,-4.1184,1
3.5456,-4.1057,1
3.5675,-4.0928,1
3.5893,-4.0798,1
3.6111,-4.0666,1
3.6328,-4.0534,1
3.6546,-4.0401,1
3.6762,-4.0266,1
3.6978,-4.013,1
3.7194,-3.9993,1
3.7409,-3.9855,1
3.7624,-3.9716,1
3.7838,-3.9576,1
3.8052,-3.9434,1
3.8265,-3.9291,1
3.8478,-3.9148,1
3.869,-3.9003,1
3.8902,-3.8857,1
3.9113,-3.871,1
3.9323,-3.8562,1
3.9534,-3.8412,1
3.9743,-3.8262,1
3.9952,-3.811,1
4.0161,-3.7958,1
4.0368,-3.7804,1
4.0576,-3.7649,1
4.0783,-3.7493,1
4.0989,-3.7336,1
4.1194,-3.7177,1
4.1399,-3.7018,1
4.1604,-3.6858,1
4.1808,-3.6696,1
4.2011,-3.6534,1
4.2213,-3.637,1
4.2415,-3.6205,1
4.2617,-3.6039,1
4.2817,-3.5872,1
4.3017,-3.5704,1
4.3217,-3.5535,1
4.3416,-3.5365,1
4.3614,-3.5193,1
4.3811,-3.5021,1
4.4008,-3.4847,1
4.4204,-3.4673,1
4.44,-3.4497,1
4.4595,-3.4321,1
4.4789,-3.4143,1
4.4982,-3.3964,1
4.5175,-3.3784,1
4.5367,-3.3603,1
4.5558,-3.3421,1
4.5749,-3.3238,1
4.5939,-3.3054,1
4.6128,-3.2869,1
4.6316,-3.2683,1
4.6504,-3.2496,1
4.6691,-3.2308,1
4.6877,-3.2119,1
4.7063,-3.1928,1
4.7247,-3.1737,1
4.7431,-3.1545,1
4.7614,-3.1351,1
4.7797,-3.1157,1
4.7978,-3.0962,1
4.8159,-3.0765,1
4.8339,-3.0568,1
4.8518,-3.0369,1
4.8697,-3.017,1
4.8874,-2.997,1
4.9051,-2.9768,1
4.9227,-2.9566,1
4.9402,-2.9362,1
4.9576,-2.9158,1
4.975,-2.8953,1
4.9923,-2.8746,1
5.0094,-2.8539,1
5.0265,-2.8331,1
5.0435,-2.8121,1
5.0605,-2.7911,1
5.0773,-2.77,1
5.094,-2.7488,1
5.1107,-2.7275,1
5.1273,-2.7061,1
5.1438,-2.6846,1
5.1601,-2.663,1
5.1765,-2.6413,1
5.1927,-2.6195,1
5.2088,-2.5976,1
5.2248,-2.5757,1
5.2408,-2.5536,1
5.2566,-2.5314,1
5.2724,-2.5092,1
5.288,-2.4869,1
5.3036,-2.4644,1
5.319,-2.4419,1
5.3344,-2.4193,1
5.3497,-2.3966,1
5.3649,-2.3738,1
5.38,-2.3509,1
5.395,-2.328,1
5.4099,-2.3049,1
5.4247,-2.2818,1
5.4394,-2.2586,1
5.454,-2.2352,1
5.4685,-2.2118,1
5.4828,-2.1883,1
5.4971,-2.1648,1
5.5113,-2.1411,1
5.5254,-2.1174,1
5.5394,-2.0935,1
5.5533,-2.0696,1
5.5671,-2.0456,1
5.5808,-2.0216,1
5.5944,-1.9974,1
5.6079,-1.9731,1
5.6212,-1.9488,1
5.6345,-1.9244,1
5.6477,-1.8999,1
5.6607,-1.8754,1
5.6737,-1.8507,1
5.6865,-1.826,1
5.6992,-1.8012,1
5.7119,-1.7763,1
5.7244,-1.7513,1
5.7368,-1.7263,1
5.7491,-1.7012,1
5.7613,-1.676,1
5.7734,-1.6507,1
5.7853,-1.6253,1
5.7972,-1.5999,1
5.8089,-1.5744,1
5.8206,-1.5489,1
5.8321,-1.5232,1
5.8435,-1.4975,1
5.8548,-1.4717,1
5.866,-1.4458,1
5.877,-1.4199,1
5.888,-1.3939,1
5.8988,-1.3678,1
5.9095,-1.3417,1
5.9202,-1.3154,1
5.9306,-1.2892,1
5.941,-1.2628,1
5.9513,-1.2364,1
5.9614,-1.2099,1
5.9714,-1.1833,1
5.9813,-1.1567,1
5.9911,-1.13,1
6.0008,-1.1033,1
6.0103,-1.0764,1
6.0198,-1.0495,1
6.0291,-1.0226,1
6.0383,-0.99558,1
6.0473,-0.9685,1
6.0563,-0.94136,1
6.0651,-0.91416,1
6.0738,-0.8869,1
6.0824,-0.85958,1
6.0908,-0.83219,1
6.0991,-0.80475,1
6.1073,-0.77725,1
6.1154,-0.74969,1
6.1234,-0.72207,1
6.1312,-0.69439,1
6.1389,-0.66666,1
6.1465,-0.63887,1
6.154,-0.61103,1
6.1613,-0.58313,1
6.1685,-0.55517,1
6.1756,-0.52717,1
6.1825,-0.4991,1
6.1893,-0.47099,1
6.196,-0.44282,1
6.2026,-0.4146,1
6.209,-0.38634,1
6.2153,-0.35802,1
6.2215,-0.32965,1
6.2276,-0.30123,1
6.2335,-0.27276,1
6.2393,-0.24424,1
6.2449,-0.21568,1
6.2505,-0.18707,1
6.2559,-0.15841,1
6.2611,-0.12971,1
6.2663,-0.10096,1
6.2713,-0.072171,1
6.2761,-0.043335,1
6.2809,-0.014456,1
6.2855,0.014466,1
6.2899,0.04343,1
6.2943,0.072436,1
6.2985,0.10148,1
6.3025,0.13057,1
6.3065,0.15969,1
6.3103,0.18886,1
6.3139,0.21806,1
6.3175,0.2473,1
6.3209,0.27658,1
6.3241,0.3059,1
